company_name,url,founded_year,total_employees,headquarters_city,employee_locations,employee_rowth_2Y,employee_growth_1Y,employee_growth_6M,description,industry
CloudLogic Labs,https://www.cloudlogiclabs.com,2021,38,Boston (USA),"{""USA"": 32, ""Canada"": 3, ""UK"": 2, ""India"": 1}",85.2,38.6,19.8,"Project management platform with integrated resource allocation, subscription-based pricing with tiered plans",Software
DataSync Technologies,https://www.datasynctech.io,2020,42,San Francisco (USA),"{""USA"": 36, ""Canada"": 4, ""Germany"": 1, ""Singapore"": 1}",92.7,41.3,22.5,"Enterprise data integration platform enabling real-time data synchronization across multiple systems, monthly subscription with volume-based pricing",Data Integration
SecureEdge Solutions,https://www.secureedgesolutions.com,2022,27,Austin (USA),"{""USA"": 23, ""Canada"": 2, ""UK"": 1, ""Australia"": 1}",N/A,65.8,24.6,"Zero-trust security framework for distributed workforces with centralized policy management, per-user monthly billing",Cybersecurity
NexusWave Systems,https://www.nexuswave.tech,2019,52,Toronto (Canada),"{""USA"": 15, ""Canada"": 31, ""UK"": 3, ""India"": 2, ""Brazil"": 1}",61.5,26.7,14.2,"Application development environment with seamless deployment across platforms, annual licensing and implementation services",Software Development
QuantumAI Corp,https://www.quantumaicorp.ai,2021,34,Seattle (USA),"{""USA"": 29, ""Canada"": 3, ""France"": 1, ""Japan"": 1}",78.3,43.7,21.4,"AI hardware accelerators with proprietary algorithm optimization software, one-time purchase with maintenance contracts",Artificial Intelligence
RapidCore Software,https://www.rapidcore.co,2020,45,New York (USA),"{""USA"": 38, ""Canada"": 2, ""Germany"": 3, ""India"": 2}",78.9,39.2,18.7,"DevOps workflow automation with CI/CD capabilities, team-based subscription model with unlimited repositories",DevOps
SmartLogistics Tech,https://www.smartlogistics.com,2018,67,Chicago (USA),"{""USA"": 52, ""Canada"": 5, ""UK"": 4, ""Germany"": 2, ""China"": 2, ""Brazil"": 2}",39.4,22.1,10.3,"IoT-enabled supply chain tracking and logistics optimization, hardware sensors sold with recurring software access fees",Logistics
MacroAnalytics Group,https://www.macroanalytics.io,2021,32,San Diego (USA),"{""USA"": 28, ""Canada"": 2, ""UK"": 1, ""Singapore"": 1}",81.6,42.4,20.9,"Financial analysis and reporting tools for mid-market companies, subscription-based with role-based access control",Finance
HyperBlock Systems,https://www.hyperblocksystems.com,2020,58,Vancouver (Canada),"{""USA"": 18, ""Canada"": 32, ""UK"": 3, ""Germany"": 2, ""India"": 3}",74.2,37.5,17.8,"Blockchain-based document verification with custom implementation services, recurring transaction fees",Blockchain
UltraConnect Networks,https://www.ultraconnect.tech,2019,49,Denver (USA),"{""USA"": 42, ""Canada"": 3, ""France"": 2, ""Japan"": 1, ""Australia"": 1}",53.8,28.5,15.2,"Unified communications platform for enterprises, per-seat monthly pricing with unlimited usage",Telecommunications
AgileStack Technologies,https://www.agilestack.cloud,2022,22,Austin (USA),"{""USA"": 19, ""Canada"": 2, ""UK"": 1}",N/A,58.3,25.2,"Microservices orchestration and API management, usage-based pricing with developer accounts",Cloud Infrastructure
VertexFlow Solutions,https://www.vertexflow.ai,2021,36,Seattle (USA),"{""USA"": 30, ""Canada"": 4, ""Germany"": 1, ""India"": 1}",76.7,39.5,20.1,"No-code workflow automation accessible through web browser, tiered subscription model with workflow limits",Business Process Management
BrightPath Analytics,https://www.brightpathanalytics.com,2020,43,Toronto (Canada),"{""USA"": 12, ""Canada"": 26, ""UK"": 2, ""France"": 2, ""India"": 1}",80.2,40.6,21.3,"Customer journey analytics with heat-mapping and conversion tracking, monthly subscription with data volume tiers",Marketing Analytics
